DATE,REAINTRATREARAT10Y
1982-01-01,6.9346889958333333
1983-01-01,5.8882573808333333
1984-01-01,6.6373992375000000
1985-01-01,5.6603925258333333
1986-01-01,4.0483030891666667
1987-01-01,4.2180140316666667
1988-01-01,4.4529011908333333
1989-01-01,4.4047298725000000
1990-01-01,4.3208969375000000
1991-01-01,3.9339278958333333
1992-01-01,3.3824443700000000
1993-01-01,2.7144275875000000
1994-01-01,3.5351682466666667
1995-01-01,3.3100514933333333
1996-01-01,3.1400511850000000
1997-01-01,3.1993348166666667
1998-01-01,2.6260023850000000
1999-01-01,2.8869701641666667
2000-01-01,3.1165892308333333
2001-01-01,2.2374475550000000
2002-01-01,2.0336032691666667
2003-01-01,1.4457960183333333
2004-01-01,1.7008579225000000
2005-01-01,1.8895054916666667
2006-01-01,2.2836022075000000
2007-01-01,2.0393217333333333
2008-01-01,1.3017102483333333
2009-01-01,1.04689150000000000000
2010-01-01,0.86916006083333333333
2011-01-01,0.52606052916666666667
2012-01-01,-0.01324946166666666667
2013-01-01,0.28784369083333333333
2014-01-01,0.61196865000000000000
2015-01-01,0.58902419750000000000
2016-01-01,0.42064948666666666667
2017-01-01,0.72585680916666666667
2018-01-01,1.1561951208333333
2019-01-01,0.53497412583333333333
2020-01-01,-0.11947805250000000000
