Year,Age,Total
1990,Under 65,218375535
1990,Over 65,31247279
1991,Under 65,221169317
1991,Over 65,31811624
1992,Under 65,224158230
1992,Over 65,32355994
1993,Under 65,227016777
1993,Over 65,32901811
1994,Under 65,229795018
1994,Over 65,33330803
1995,Under 65,232509089
1995,Over 65,33769304
1996,Under 65,235251235
1996,Over 65,34143049
1997,Under 65,238245364
1997,Over 65,34401561
1998,Under 65,241234945
1998,Over 65,34619159
1999,Under 65,244242327
1999,Over 65,34797841
2000,Under 65,247092843
2000,Over 65,35069568
2001,Under 65,238542344
2001,Over 65,35290291
2002,Under 65,252102986
2002,Over 65,35522207
2003,Under 65,254244404
2003,Over 65,35863529
2004,Under 65,256601979
2004,Over 65,36203319
2005,Under 65,258866801
2005,Over 65,36649798
2006,Under 65,261215805
2006,Over 65,37164107
2007,Under 65,263405496
2007,Over 65,37825711
2008,Under 65,265316345
2008,Over 65,38777621
2009,Under 65,267148354
2009,Over 65,39623175
2010,Under 65,268848894
2010,Over 65,40478249
2011,Under 65,270232590
2011,Over 65,41350891
2012,Under 65,270745451
2012,Over 65,43132211
2013,Under 65,271427610
2013,Over 65,44632337
2014,Under 65,272225324
2014,Over 65,46161005
2015,Under 65,273083124
2015,Over 65,47655870
2016,Under 65,273863276
2016,Over 65,49208479
2017,Under 65,274364489
2017,Over 65,50757639
2018,Under 65,274483594
2018,Over 65,52354605
2019,Under 65,274293218
2019,Over 65,54036735
2020,Under 65,273824758
2020,Over 65,55659365
