Year,REAINTRATREARAT10Y
1982,7.55898662
1983,5.8185791
1984,7.44614428
1985,5.33392835
1986,3.99302785
1987,4.27752862
1988,4.43535275
1989,4.00267623
1990,4.3418185
1991,4.22225375
1992,3.35309944
1993,2.59179878
1994,3.7864194
1995,2.93803016
1996,3.36926055
1997,3.19987642
1998,2.77070571
1999,3.0055618
2000,3.06235485
2001,2.52836744
2002,2.14192855
2003,1.12868896
2004,1.93379862
2005,1.82002108
2006,2.49634953
2007,2.37357342
2008,1.44558109
2009,1.26690282
2010,0.84675907
2011,0.57395235
2012,-0.05482603
2013,0.54638104
2014,0.59099495
2015,0.6670749
2016,0.16534694
2017,0.72501612
2018,1.15523371
2019,0.44057188
2020,-0.3453445
