Year,UNRATE
1980,7.175
1981,7.616666667
1982,9.708333333
1983,9.6
1984,7.508333333
1985,7.191666667
1986,7
1987,6.175
1988,5.491666667
1989,5.258333333
1990,5.616666667
1991,6.85
1992,7.491666667
1993,6.908333333
1994,6.1
1995,5.591666667
1996,5.408333333
1997,4.941666667
1998,4.5
1999,4.216666667
2000,3.966666667
2001,4.741666667
2002,5.783333333
2003,5.991666667
2004,5.541666667
2005,5.083333333
2006,4.608333333
2007,4.616666667
2008,5.8
2009,9.283333333
2010,9.608333333
2011,8.933333333
2012,8.075
2013,7.358333333
2014,6.158333333
2015,5.275
2016,4.875
2017,4.358333333
2018,3.891666667
2019,3.683333333
2020,8.091666667
